HDR,ROLLING SYSTEM DEMAND
VD,20220207182500,43041
VD,20220207183000,42935
VD,20220207183500,42846
VD,20220207184000,42694
VD,20220207184500,42497
VD,20220207185000,42430
VD,20220207185500,42053
VD,20220207190000,41734
VD,20220207190500,41640
VD,20220207191000,41317
VD,20220207191500,41065
VD,20220207192000,40721
VD,20220207192500,40386
VD,20220207193000,40065
VD,20220207193500,39901
VD,20220207194000,39561
VD,20220207194500,39354
VD,20220207195000,38926
VD,20220207195500,38636
VD,20220207200000,38439
VD,20220207200500,38047
VD,20220207201000,37799
VD,20220207201500,37702
VD,20220207202000,37454
VD,20220207202500,37238
VD,20220207203000,37141
VD,20220207203500,36920
VD,20220207204000,36585
VD,20220207204500,36052
VD,20220207205000,35697
VD,20220207205500,35338
VD,20220207210000,35209
VD,20220207210500,35080
VD,20220207211000,34780
VD,20220207211500,34421
VD,20220207212000,34107
VD,20220207212500,33763
VD,20220207213000,33402
VD,20220207213500,33157
VD,20220207214000,32863
VD,20220207214500,32553
VD,20220207215000,32114
VD,20220207215500,31864
VD,20220207220000,31733
VD,20220207220500,31111
VD,20220207221000,30926
VD,20220207221500,30536
VD,20220207222000,30129
VD,20220207222500,29486
VD,20220207223000,29097
VD,20220207223500,28965
VD,20220207224000,28757
VD,20220207224500,28462
VD,20220207225000,28277
VD,20220207225500,27941
VD,20220207230000,27638
VD,20220207230500,27634
VD,20220207231000,27720
VD,20220207231500,27687
VD,20220207232000,27639
VD,20220207232500,27492
VD,20220207233000,27506
VD,20220207233500,27258
VD,20220207234000,27160
VD,20220207234500,26988
VD,20220207235000,26874
VD,20220207235500,26754
VD,20220208000000,26695
VD,20220208000500,26815
VD,20220208001000,26848
VD,20220208001500,26812
VD,20220208002000,26736
VD,20220208002500,26634
VD,20220208003000,26606
VD,20220208003500,27042
VD,20220208004000,27175
VD,20220208004500,27223
VD,20220208005000,27181
VD,20220208005500,27139
VD,20220208010000,27244
VD,20220208010500,27262
VD,20220208011000,27157
VD,20220208011500,27072
VD,20220208012000,26991
VD,20220208012500,26865
VD,20220208013000,26728
VD,20220208013500,26719
VD,20220208014000,26684
VD,20220208014500,26630
VD,20220208015000,26600
VD,20220208015500,26494
VD,20220208020000,26242
VD,20220208020500,26280
VD,20220208021000,26294
VD,20220208021500,26190
VD,20220208022000,26105
VD,20220208022500,26043
VD,20220208023000,25989
VD,20220208023500,26077
VD,20220208024000,26202
VD,20220208024500,26240
VD,20220208025000,26145
VD,20220208025500,26003
VD,20220208030000,25770
VD,20220208030500,25806
VD,20220208031000,25853
VD,20220208031500,25811
VD,20220208032000,25829
VD,20220208032500,25795
VD,20220208033000,25750
VD,20220208033500,25704
VD,20220208034000,25626
VD,20220208034500,25555
VD,20220208035000,25506
VD,20220208035500,25491
VD,20220208040000,25494
VD,20220208040500,25710
VD,20220208041000,25725
VD,20220208041500,25708
VD,20220208042000,25713
VD,20220208042500,25704
VD,20220208043000,25751
VD,20220208043500,25738
VD,20220208044000,25676
VD,20220208044500,25641
VD,20220208045000,25628
VD,20220208045500,25492
VD,20220208050000,25403
VD,20220208050500,25633
VD,20220208051000,25814
VD,20220208051500,25892
VD,20220208052000,26001
VD,20220208052500,26130
VD,20220208053000,26241
VD,20220208053500,26410
VD,20220208054000,26615
VD,20220208054500,26842
VD,20220208055000,27155
VD,20220208055500,27336
VD,20220208060000,27620
VD,20220208060500,28031
VD,20220208061000,28734
VD,20220208061500,29308
VD,20220208062000,29631
VD,20220208062500,30084
VD,20220208063000,30567
VD,20220208063500,30860
VD,20220208064000,31136
VD,20220208064500,31748
VD,20220208065000,32099
VD,20220208065500,32381
VD,20220208070000,32618
VD,20220208070500,32734
VD,20220208071000,32941
VD,20220208071500,33624
VD,20220208072000,33918
VD,20220208072500,34166
VD,20220208073000,34398
VD,20220208073500,34581
VD,20220208074000,34786
VD,20220208074500,34971
VD,20220208075000,35101
VD,20220208075500,35214
VD,20220208080000,35395
VD,20220208080500,35734
VD,20220208081000,35773
VD,20220208081500,35844
VD,20220208082000,35958
VD,20220208082500,36011
VD,20220208083000,36023
VD,20220208083500,35976
VD,20220208084000,35983
VD,20220208084500,35924
VD,20220208085000,36126
VD,20220208085500,36229
VD,20220208090000,36469
VD,20220208090500,37019
VD,20220208091000,37225
VD,20220208091500,37285
VD,20220208092000,37423
VD,20220208092500,37392
VD,20220208093000,37315
VD,20220208093500,37183
VD,20220208094000,37044
VD,20220208094500,36964
VD,20220208095000,36928
VD,20220208095500,36967
VD,20220208100000,37009
VD,20220208100500,36954
VD,20220208101000,36955
VD,20220208101500,36861
VD,20220208102000,36851
VD,20220208102500,36872
VD,20220208103000,36803
VD,20220208103500,36749
VD,20220208104000,36688
VD,20220208104500,36710
VD,20220208105000,36765
VD,20220208105500,36773
VD,20220208110000,36769
VD,20220208110500,36491
VD,20220208111000,36405
VD,20220208111500,36316
VD,20220208112000,36195
VD,20220208112500,36239
VD,20220208113000,36253
VD,20220208113500,36283
VD,20220208114000,36198
VD,20220208114500,36097
VD,20220208115000,36115
VD,20220208115500,36150
VD,20220208120000,36118
VD,20220208120500,36163
VD,20220208121000,36055
VD,20220208121500,36021
VD,20220208122000,36080
VD,20220208122500,36228
VD,20220208123000,36352
VD,20220208123500,36362
VD,20220208124000,36340
VD,20220208124500,36389
VD,20220208125000,36407
VD,20220208125500,36422
VD,20220208130000,36390
VD,20220208130500,36262
VD,20220208131000,36145
VD,20220208131500,36081
VD,20220208132000,36005
VD,20220208132500,35982
VD,20220208133000,36030
VD,20220208133500,35980
VD,20220208134000,35996
VD,20220208134500,36054
VD,20220208135000,35973
VD,20220208135500,35941
VD,20220208140000,35937
VD,20220208140500,36013
VD,20220208141000,36103
VD,20220208141500,35923
VD,20220208142000,35828
VD,20220208142500,35924
VD,20220208143000,35932
VD,20220208143500,35852
VD,20220208144000,35929
VD,20220208144500,36001
VD,20220208145000,36023
VD,20220208145500,35983
VD,20220208150000,35951
VD,20220208150500,35828
VD,20220208151000,35926
VD,20220208151500,36021
VD,20220208152000,36086
VD,20220208152500,36207
VD,20220208153000,36285
VD,20220208153500,36411
VD,20220208154000,36627
VD,20220208154500,36824
VD,20220208155000,37035
VD,20220208155500,37245
VD,20220208160000,37309
VD,20220208160500,37577
VD,20220208161000,37553
VD,20220208161500,37606
VD,20220208162000,37790
VD,20220208162500,38149
VD,20220208163000,38327
VD,20220208163500,38559
VD,20220208164000,38911
VD,20220208164500,39245
VD,20220208165000,39624
VD,20220208165500,39839
VD,20220208170000,40063
VD,20220208170500,40302
VD,20220208171000,40364
VD,20220208171500,40826
VD,20220208172000,41114
VD,20220208172500,41483
VD,20220208173000,41814
VD,20220208173500,41965
VD,20220208174000,42023
VD,20220208174500,42148
VD,20220208175000,42159
VD,20220208175500,41995
VD,20220208180000,41990
VD,20220208180500,42308
VD,20220208181000,42406
VD,20220208181500,42390
VD,20220208182000,42295
VD,20220208182500,42129
VD,20220208183000,42041
VD,20220208183500,41988
VD,20220208184000,41924
VD,20220208184500,41874
VD,20220208185000,41921
VD,20220208185500,41445
VD,20220208190000,41056
VD,20220208190500,41185
VD,20220208191000,41350
VD,20220208191500,41079
VD,20220208192000,40757
VD,20220208192500,40533
VD,20220208193000,40225
VD,20220208193500,40088
VD,20220208194000,40105
VD,20220208194500,39581
VD,20220208195000,39313
VD,20220208195500,39074
VD,20220208200000,38903
VD,20220208200500,38659
VD,20220208201000,38616
VD,20220208201500,38369
VD,20220208202000,38069
VD,20220208202500,37813
VD,20220208203000,37612
VD,20220208203500,37530
VD,20220208204000,37122
VD,20220208204500,36715
VD,20220208205000,36405
VD,20220208205500,36148
VD,20220208210000,35780
VD,20220208210500,35615
VD,20220208211000,35369
VD,20220208211500,35013
VD,20220208212000,34151
VD,20220208212500,33812
VD,20220208213000,33618
VD,20220208213500,33356
VD,20220208214000,33130
VD,20220208214500,32830
VD,20220208215000,32485
VD,20220208215500,32299
VD,20220208220000,31993
VD,20220208220500,31783
VD,20220208221000,31254
VD,20220208221500,30877
VD,20220208222000,30473
VD,20220208222500,30210
VD,20220208223000,29978
VD,20220208223500,29648
VD,20220208224000,29048
VD,20220208224500,28839
VD,20220208225000,28523
VD,20220208225500,28184
VD,20220208230000,27961
VD,20220208230500,27773
VD,20220208231000,27442
VD,20220208231500,27128
VD,20220208232000,26883
VD,20220208232500,26659
VD,20220208233000,26377
VD,20220208233500,26298
VD,20220208234000,26281
VD,20220208234500,26170
VD,20220208235000,26078
VD,20220208235500,25964
VD,20220209000000,25795
VD,20220209000500,25660
VD,20220209001000,25604
VD,20220209001500,25583
VD,20220209002000,25632
VD,20220209002500,25761
VD,20220209003000,25726
VD,20220209003500,25966
VD,20220209004000,26169
VD,20220209004500,26303
VD,20220209005000,26346
VD,20220209005500,26289
VD,20220209010000,26136
VD,20220209010500,26245
VD,20220209011000,26260
VD,20220209011500,26219
VD,20220209012000,26126
VD,20220209012500,26005
VD,20220209013000,25849
VD,20220209013500,25816
VD,20220209014000,25702
VD,20220209014500,25621
VD,20220209015000,25577
VD,20220209015500,25658
VD,20220209020000,25622
VD,20220209020500,25661
VD,20220209021000,25741
VD,20220209021500,25768
VD,20220209022000,25700
VD,20220209022500,25616
VD,20220209023000,25543
VD,20220209023500,25684
VD,20220209024000,25867
VD,20220209024500,25852
VD,20220209025000,25785
VD,20220209025500,25595
VD,20220209030000,25469
VD,20220209030500,25408
VD,20220209031000,25463
VD,20220209031500,25381
VD,20220209032000,25387
VD,20220209032500,25297
VD,20220209033000,25285
VD,20220209033500,25240
VD,20220209034000,25087
VD,20220209034500,25041
VD,20220209035000,24981
VD,20220209035500,24995
VD,20220209040000,24988
VD,20220209040500,25190
VD,20220209041000,25247
VD,20220209041500,25251
VD,20220209042000,25275
VD,20220209042500,25268
VD,20220209043000,25243
VD,20220209043500,25179
VD,20220209044000,25035
VD,20220209044500,24976
VD,20220209045000,24898
VD,20220209045500,24896
VD,20220209050000,24789
VD,20220209050500,24797
VD,20220209051000,24853
VD,20220209051500,24822
VD,20220209052000,24798
VD,20220209052500,24768
VD,20220209053000,24824
VD,20220209053500,25004
VD,20220209054000,25226
VD,20220209054500,25551
VD,20220209055000,25818
VD,20220209055500,26217
VD,20220209060000,26610
VD,20220209060500,27341
VD,20220209061000,28085
VD,20220209061500,28707
VD,20220209062000,29067
VD,20220209062500,29387
VD,20220209063000,29929
VD,20220209063500,30402
VD,20220209064000,30889
VD,20220209064500,31291
VD,20220209065000,31936
VD,20220209065500,32407
VD,20220209070000,32923
VD,20220209070500,33339
VD,20220209071000,34060
VD,20220209071500,34790
VD,20220209072000,34994
VD,20220209072500,35436
VD,20220209073000,35504
VD,20220209073500,35743
VD,20220209074000,35829
VD,20220209074500,35958
VD,20220209075000,36083
VD,20220209075500,36280
VD,20220209080000,36346
VD,20220209080500,36139
VD,20220209081000,36252
VD,20220209081500,36412
VD,20220209082000,33561
VD,20220209082500,33528
VD,20220209083000,33603
VD,20220209083500,33751
VD,20220209084000,33781
VD,20220209084500,33871
VD,20220209085000,33981
VD,20220209085500,33990
VD,20220209090000,33948
VD,20220209090500,36669
VD,20220209091000,36727
VD,20220209091500,36802
VD,20220209092000,36769
VD,20220209092500,36791
VD,20220209093000,36757
VD,20220209093500,36679
VD,20220209094000,36478
VD,20220209094500,36425
VD,20220209095000,36394
VD,20220209095500,36289
VD,20220209100000,36188
VD,20220209100500,36015
VD,20220209101000,35799
VD,20220209101500,35655
VD,20220209102000,35578
VD,20220209102500,35552
VD,20220209103000,35507
VD,20220209103500,35579
VD,20220209104000,35514
VD,20220209104500,35321
VD,20220209105000,35340
VD,20220209105500,35430
VD,20220209110000,35607
VD,20220209110500,35509
VD,20220209111000,35320
VD,20220209111500,35324
VD,20220209112000,35275
VD,20220209112500,35274
VD,20220209113000,35257
VD,20220209113500,35102
VD,20220209114000,35006
VD,20220209114500,35071
VD,20220209115000,35005
VD,20220209115500,34939
VD,20220209120000,34865
VD,20220209120500,35029
VD,20220209121000,35075
VD,20220209121500,35089
VD,20220209122000,35116
VD,20220209122500,35183
VD,20220209123000,35219
VD,20220209123500,35264
VD,20220209124000,35294
VD,20220209124500,35313
VD,20220209125000,35491
VD,20220209125500,35404
VD,20220209130000,35363
VD,20220209130500,35544
VD,20220209131000,35547
VD,20220209131500,35517
VD,20220209132000,35483
VD,20220209132500,35380
VD,20220209133000,35250
VD,20220209133500,35212
VD,20220209134000,35160
VD,20220209134500,35172
VD,20220209135000,35158
VD,20220209135500,35099
VD,20220209140000,35133
VD,20220209140500,35333
VD,20220209141000,35428
VD,20220209141500,35425
VD,20220209142000,35413
VD,20220209142500,35372
VD,20220209143000,35366
VD,20220209143500,35517
VD,20220209144000,35637
VD,20220209144500,35722
VD,20220209145000,35849
VD,20220209145500,35987
VD,20220209150000,35654
VD,20220209150500,35547
VD,20220209151000,35706
VD,20220209151500,35815
VD,20220209152000,36013
VD,20220209152500,36049
VD,20220209153000,36280
VD,20220209153500,36555
VD,20220209154000,36753
VD,20220209154500,36987
VD,20220209155000,37227
VD,20220209155500,37352
VD,20220209160000,37620
VD,20220209160500,37875
VD,20220209161000,37925
VD,20220209161500,38136
VD,20220209162000,38378
VD,20220209162500,38545
VD,20220209163000,38579
VD,20220209163500,38809
VD,20220209164000,39000
VD,20220209164500,39229
VD,20220209165000,39472
VD,20220209165500,39675
VD,20220209170000,39879
VD,20220209170500,40602
VD,20220209171000,40929
VD,20220209171500,40998
VD,20220209172000,41178
VD,20220209172500,41657
VD,20220209173000,41874
VD,20220209173500,42021
VD,20220209174000,42089
VD,20220209174500,42110
VD,20220209175000,42188
VD,20220209175500,42019
VD,20220209180000,41695
VD,20220209180500,41726
VD,20220209181000,41601
VD,20220209181500,41545
VD,20220209182000,41554
VD,20220209182500,41434
VD,20220209183000,41343
VD,20220209183500,41182
VD,20220209184000,40982
VD,20220209184500,40796
VD,20220209185000,40684
VD,20220209185500,40511
VD,20220209190000,40214
VD,20220209190500,40312
VD,20220209191000,40228
VD,20220209191500,39851
VD,20220209192000,39607
VD,20220209192500,39424
VD,20220209193000,39212
VD,20220209193500,39178
VD,20220209194000,38969
VD,20220209194500,38656
VD,20220209195000,38492
VD,20220209195500,38723
VD,20220209200000,38614
VD,20220209200500,38411
VD,20220209201000,38525
VD,20220209201500,38270
VD,20220209202000,37995
VD,20220209202500,37788
VD,20220209203000,37353
VD,20220209203500,37172
VD,20220209204000,37026
VD,20220209204500,36816
VD,20220209205000,36567
VD,20220209205500,36400
VD,20220209210000,36264
VD,20220209210500,36200
VD,20220209211000,35990
VD,20220209211500,35587
VD,20220209212000,35193
VD,20220209212500,34697
VD,20220209213000,34747
VD,20220209213500,34820
VD,20220209214000,34564
VD,20220209214500,34370
VD,20220209215000,34242
VD,20220209215500,34078
VD,20220209220000,33506
VD,20220209220500,33124
VD,20220209221000,32690
VD,20220209221500,32278
VD,20220209222000,31954
VD,20220209222500,31703
VD,20220209223000,31420
VD,20220209223500,31124
VD,20220209224000,30691
VD,20220209224500,30351
VD,20220209225000,30248
VD,20220209225500,29954
VD,20220209230000,29528
VD,20220209230500,29109
VD,20220209231000,28626
VD,20220209231500,28152
VD,20220209232000,27720
VD,20220209232500,27237
VD,20220209233000,26996
VD,20220209233500,26929
VD,20220209234000,26776
VD,20220209234500,26588
VD,20220209235000,26472
VD,20220209235500,26420
VD,20220210000000,26454
VD,20220210000500,26498
VD,20220210001000,26339
VD,20220210001500,26235
VD,20220210002000,26184
VD,20220210002500,26277
VD,20220210003000,26314
VD,20220210003500,26462
VD,20220210004000,26505
VD,20220210004500,26702
VD,20220210005000,26772
VD,20220210005500,26725
VD,20220210010000,26605
VD,20220210010500,26348
VD,20220210011000,26376
VD,20220210011500,26306
VD,20220210012000,26268
VD,20220210012500,26256
VD,20220210013000,26131
VD,20220210013500,26006
VD,20220210014000,25766
VD,20220210014500,25647
VD,20220210015000,25567
VD,20220210015500,25550
VD,20220210020000,25558
VD,20220210020500,25937
VD,20220210021000,26171
VD,20220210021500,26128
VD,20220210022000,26193
VD,20220210022500,26204
VD,20220210023000,26182
VD,20220210023500,26236
VD,20220210024000,26218
VD,20220210024500,26090
VD,20220210025000,26006
VD,20220210025500,25978
VD,20220210030000,26058
VD,20220210030500,26232
VD,20220210031000,26300
VD,20220210031500,26283
VD,20220210032000,26316
VD,20220210032500,26431
VD,20220210033000,26463
VD,20220210033500,26565
VD,20220210034000,26616
VD,20220210034500,26511
VD,20220210035000,26489
VD,20220210035500,26490
VD,20220210040000,26424
VD,20220210040500,26356
VD,20220210041000,26450
VD,20220210041500,26366
VD,20220210042000,26236
VD,20220210042500,26299
VD,20220210043000,26282
VD,20220210043500,26278
VD,20220210044000,26308
VD,20220210044500,26348
VD,20220210045000,26398
VD,20220210045500,26560
VD,20220210050000,26746
VD,20220210050500,26917
VD,20220210051000,26819
VD,20220210051500,27247
VD,20220210052000,27352
VD,20220210052500,27501
VD,20220210053000,27524
VD,20220210053500,27751
VD,20220210054000,27998
VD,20220210054500,28304
VD,20220210055000,28630
VD,20220210055500,29004
VD,20220210060000,29344
VD,20220210060500,29898
VD,20220210061000,30401
VD,20220210061500,30870
VD,20220210062000,31171
VD,20220210062500,31488
VD,20220210063000,31804
VD,20220210063500,32211
VD,20220210064000,32687
VD,20220210064500,33252
VD,20220210065000,33644
VD,20220210065500,34148
VD,20220210070000,34259
VD,20220210070500,34314
VD,20220210071000,34781
VD,20220210071500,35214
VD,20220210072000,35461
VD,20220210072500,35794
VD,20220210073000,36083
VD,20220210073500,36101
VD,20220210074000,36208
VD,20220210074500,36372
VD,20220210075000,36482
VD,20220210075500,36638
VD,20220210080000,36438
VD,20220210080500,36472
VD,20220210081000,36677
VD,20220210081500,36803
VD,20220210082000,37024
VD,20220210082500,37209
VD,20220210083000,37224
VD,20220210083500,37058
VD,20220210084000,37015
VD,20220210084500,37012
VD,20220210085000,37090
VD,20220210085500,37141
VD,20220210090000,37236
VD,20220210090500,37527
VD,20220210091000,37571
VD,20220210091500,37560
VD,20220210092000,37587
VD,20220210092500,37538
VD,20220210093000,37426
VD,20220210093500,37269
VD,20220210094000,37182
VD,20220210094500,37268
VD,20220210095000,37192
VD,20220210095500,36970
VD,20220210100000,36784
VD,20220210100500,36432
VD,20220210101000,36360
VD,20220210101500,36294
VD,20220210102000,36149
VD,20220210102500,36141
VD,20220210103000,36146
VD,20220210103500,36080
VD,20220210104000,35942
VD,20220210104500,35865
VD,20220210105000,35729
VD,20220210105500,35609
VD,20220210110000,35538
VD,20220210110500,35240
VD,20220210111000,35429
VD,20220210111500,35273
VD,20220210112000,35164
VD,20220210112500,35156
VD,20220210113000,35185
VD,20220210113500,35232
VD,20220210114000,35289
VD,20220210114500,35180
VD,20220210115000,35146
VD,20220210115500,35072
VD,20220210120000,35163
VD,20220210120500,35488
VD,20220210121000,35572
VD,20220210121500,35551
VD,20220210122000,35555
VD,20220210122500,35608
VD,20220210123000,35507
VD,20220210123500,35329
VD,20220210124000,35275
VD,20220210124500,35226
VD,20220210125000,35190
VD,20220210125500,35116
VD,20220210130000,35126
VD,20220210130500,35470
VD,20220210131000,35477
VD,20220210131500,35395
VD,20220210132000,35471
VD,20220210132500,35431
VD,20220210133000,35289
VD,20220210133500,35272
VD,20220210134000,35273
VD,20220210134500,34985
VD,20220210135000,34782
VD,20220210135500,34710
VD,20220210140000,34583
VD,20220210140500,34442
VD,20220210141000,34690
VD,20220210141500,34724
VD,20220210142000,34611
VD,20220210142500,34555
VD,20220210143000,34580
VD,20220210143500,34727
VD,20220210144000,34784
VD,20220210144500,34793
VD,20220210145000,34954
VD,20220210145500,34973
VD,20220210150000,34991
VD,20220210150500,35259
VD,20220210151000,35546
VD,20220210151500,35593
VD,20220210152000,35576
VD,20220210152500,35772
VD,20220210153000,35911
VD,20220210153500,36213
VD,20220210154000,36434
VD,20220210154500,36700
VD,20220210155000,37081
VD,20220210155500,37397
VD,20220210160000,37590
VD,20220210160500,37976
VD,20220210161000,38288
VD,20220210161500,38550
VD,20220210162000,38715
VD,20220210162500,39055
VD,20220210163000,39115
VD,20220210163500,39528
VD,20220210164000,39629
VD,20220210164500,40035
VD,20220210165000,40509
VD,20220210165500,40671
VD,20220210170000,40786
VD,20220210170500,40884
VD,20220210171000,40839
VD,20220210171500,41104
VD,20220210172000,41484
VD,20220210172500,41691
VD,20220210173000,42220
VD,20220210173500,42229
VD,20220210174000,42236
VD,20220210174500,42494
VD,20220210175000,42906
VD,20220210175500,42928
VD,20220210180000,42816
VD,20220210180500,42725
VD,20220210181000,42628
VD,20220210181500,42537
VD,20220210182000,42444
VD,20220210182500,42364
VD,20220210183000,42347
VD,20220210183500,42400
VD,20220210184000,42195
VD,20220210184500,42074
VD,20220210185000,41982
VD,20220210185500,41823
VD,20220210190000,41532
VD,20220210190500,41732
VD,20220210191000,41941
VD,20220210191500,41649
VD,20220210192000,41362
VD,20220210192500,41035
VD,20220210193000,40808
VD,20220210193500,40734
VD,20220210194000,40808
VD,20220210194500,40715
VD,20220210195000,40453
VD,20220210195500,40278
VD,20220210200000,40142
VD,20220210200500,39676
VD,20220210201000,39539
VD,20220210201500,39335
VD,20220210202000,38938
VD,20220210202500,38626
VD,20220210203000,38368
VD,20220210203500,38186
VD,20220210204000,37964
VD,20220210204500,38033
VD,20220210205000,38060
VD,20220210205500,37948
VD,20220210210000,37618
VD,20220210210500,37098
VD,20220210211000,36663
VD,20220210211500,36353
VD,20220210212000,36115
VD,20220210212500,35834
VD,20220210213000,35623
VD,20220210213500,35451
VD,20220210214000,35126
VD,20220210214500,34832
VD,20220210215000,34521
VD,20220210215500,34300
VD,20220210220000,34232
VD,20220210220500,34454
VD,20220210221000,34255
VD,20220210221500,33809
VD,20220210222000,33359
VD,20220210222500,33129
VD,20220210223000,32893
VD,20220210223500,32817
VD,20220210224000,32613
VD,20220210224500,32357
VD,20220210225000,32169
VD,20220210225500,31845
VD,20220210230000,31567
VD,20220210230500,31724
VD,20220210231000,31668
VD,20220210231500,31410
VD,20220210232000,31245
VD,20220210232500,30892
VD,20220210233000,30693
VD,20220210233500,30509
VD,20220210234000,30303
VD,20220210234500,30241
VD,20220210235000,30142
VD,20220210235500,30027
VD,20220211000000,29861
VD,20220211000500,29769
VD,20220211001000,29745
VD,20220211001500,29714
VD,20220211002000,29702
VD,20220211002500,29675
VD,20220211003000,29821
VD,20220211003500,30081
VD,20220211004000,30267
VD,20220211004500,30375
VD,20220211005000,30424
