Country Name,Country Code,Indicator Name,Indicator Code,2000,2001,2002,2003,2004,2005,2006,2007
Cayman Islands,CYM,Rural population,SP.RUR.TOTL,0,0,0,0,0,0,0,0
Cyprus,CYP,Rural population,SP.RUR.TOTL,295740,299903,305850,312445,319189,326096,333256,340578
Czech Republic,CZE,Rural population,SP.RUR.TOTL,2667547,2668884,2670674,2676944,2684795,2695557,2709931,2733000
Germany,DEU,Rural population,SP.RUR.TOTL,20581651,20447486,20313617,20157322,19986263,19809155,19622894,19432962
Djibouti,DJI,Rural population,SP.RUR.TOTL,168401,171688,174606,177224,179659,182019,184281,186439
Dominica,DMA,Rural population,SP.RUR.TOTL,24193,24119,23963,23839,23721,23573,23406,23219
Denmark,DNK,Rural population,SP.RUR.TOTL,795603,795779,792950,789180,780089,766524,755890,748599
Dominican Republic,DOM,Rural population,SP.RUR.TOTL,3240025,3218886,3195871,3132570,3051042,2968437,2884525,2799789
Algeria,DZA,Rural population,SP.RUR.TOTL,12442039,12356670,12263899,12168750,12076154,11990254,11911271,11839541
East Asia & Pacific (excluding high income),EAP,Rural population,SP.RUR.TOTL,1152284795,1144183151,1133764195,1122361395,1110165223,1097496798,1084724967,1071589665
Early-demographic dividend,EAR,Rural population,SP.RUR.TOTL,1524907615,1543796444,1561191065,1578152974,1594747188,1610990135,1626927084,1642568358
East Asia & Pacific,EAS,Rural population,SP.RUR.TOTL,1199492091,1189702238,1177059342,1163546812,1149310927,1134720051,1120399883,1105876262
Europe & Central Asia (excluding high income),ECA,Rural population,SP.RUR.TOTL,140753228,140194901,139502384,138869740,138278788,137687234,137134753,136595911
Europe & Central Asia,ECS,Rural population,SP.RUR.TOTL,268687540,267670082,266416654,265300552,264257663,263202201,262155816,261216220
Ecuador,ECU,Rural population,SP.RUR.TOTL,5034533,5062676,5110442,5171926,5232707,5293775,5355639,5417822
"Egypt, Arab Rep.",EGY,Rural population,SP.RUR.TOTL,39373718,40097157,40825823,41558215,42292174,43028047,43761874,44531290
Euro area,EMU,Rural population,SP.RUR.TOTL,86939738,86612989,86247231,85899021,85568129,85210812,84822684,84503086
Eritrea,ERI,Rural population,SP.RUR.TOTL,1682929,1722741,1777902,1840344,1899406,1947592,1982894,2007172
Spain,ESP,Rural population,SP.RUR.TOTL,9630000,9663982,9722744,9796815,9862593,9925418,9988509,10067486
Estonia,EST,Rural population,SP.RUR.TOTL,427924,426956,425998,425074,424271,423570,422804,422596
Ethiopia,ETH,Rural population,SP.RUR.TOTL,56463272,57985265,59538009,61121265,62729415,64359939,66010206,67672866
European Union,EUU,Rural population,SP.RUR.TOTL,125253571,124617190,123919998,123399625,122915398,122398829,121849700,121296148
Fragile and conflict affected situations,FCS,Rural population,SP.RUR.TOTL,371506773,378744007,386342370,394190653,402212858,410266293,418324337,426806506
Finland,FIN,Rural population,SP.RUR.TOTL,922245,914750,909949,905083,900709,896820,893317,890197
Fiji,FJI,Rural population,SP.RUR.TOTL,422472,420798,418292,415506,413193,411863,411749,412599
France,FRA,Rural population,SP.RUR.TOTL,14697577,14647860,14598404,14545384,14495492,14449119,14393064,14326191
Faroe Islands,FRO,Rural population,SP.RUR.TOTL,29755,29527,29275,29073,28918,28743,28606,28532
"Micronesia, Fed. Sts.",FSM,Rural population,SP.RUR.TOTL,83421,83239,83128,83031,82815,82435,81850,81134
Gabon,GAB,Rural population,SP.RUR.TOTL,259442,256218,252921,249694,246687,244014,241594,239410
United Kingdom,GBR,Rural population,SP.RUR.TOTL,12572963,12562339,12439896,12323786,12220136,12131582,12048279,11970758
Georgia,GEO,Rural population,SP.RUR.TOTL,1931011,1910922,1892142,1864034,1837288,1810550,1785270,1761043
Ghana,GHA,Rural population,SP.RUR.TOTL,10809844,10945141,11079829,11215334,11353041,11494574,11639795,11787623
Gibraltar,GIB,Rural population,SP.RUR.TOTL,0,0,0,0,0,0,0,0
Guinea,GIN,Rural population,SP.RUR.TOTL,5696903,5795666,5888332,5978540,6071549,6171106,6278879,6394109
"Gambia, The",GMB,Rural population,SP.RUR.TOTL,686948,696696,706583,716915,728987,740689,751941,762840
Guinea-Bissau,GNB,Rural population,SP.RUR.TOTL,765916,777715,790256,803511,817360,831746,846593,861974
Equatorial Guinea,GNQ,Rural population,SP.RUR.TOTL,308594,310576,312254,313760,315221,316750,318261,319636
Greece,GRC,Rural population,SP.RUR.TOTL,2948257,2942226,2910513,2875284,2840339,2807039,2774156,2740132
Grenada,GRD,Rural population,SP.RUR.TOTL,66126,66159,66417,66659,66885,67091,67277,67440
Greenland,GRL,Rural population,SP.RUR.TOTL,10341,10228,10136,10026,9914,9760,9554,9342
Guatemala,GTM,Rural population,SP.RUR.TOTL,6335891,6450059,6559052,6664800,6770217,6873860,6975317,7074356
Guam,GUM,Rural population,SP.RUR.TOTL,10672,10583,10477,10355,10222,10089,9952,9814
Guyana,GUY,Rural population,SP.RUR.TOTL,532455,532032,532390,534215,536453,538560,540481,542368
High income,HIC,Rural population,SP.RUR.TOTL,250275754,248239710,245647487,243241423,240992585,238873881,237149308,235658458
"Hong Kong SAR, China",HKG,Rural population,SP.RUR.TOTL,0,0,0,0,0,0,0,0
Honduras,HND,Rural population,SP.RUR.TOTL,3585869,3648463,3699536,3747377,3792452,3835036,3874786,3911678
Heavily indebted poor countries (HIPC),HPC,Rural population,SP.RUR.TOTL,336188029,344166302,352407065,360826723,369405359,377964930,386530430,395544591
Croatia,HRV,Rural population,SP.RUR.TOTL,2080978,1993228,1987174,1980467,1973788,1969090,1962310,1954640
Haiti,HTI,Rural population,SP.RUR.TOTL,5450688,5401942,5345720,5282659,5276349,5274602,5270084,5262885
Hungary,HUN,Rural population,SP.RUR.TOTL,3617236,3599271,3547284,3495810,3446941,3392784,3334127,3276073
IBRD only,IBD,Rural population,SP.RUR.TOTL,2250534454,2252470693,2251143045,2248698916,2245229880,2240930373,2236320402,2231099757
IDA & IBRD total,IBT,Rural population,SP.RUR.TOTL,3015328429,3031710696,3044723203,3056677917,3067692457,3077849723,3087737957,3097463835
IDA total,IDA,Rural population,SP.RUR.TOTL,764793975,779240003,793580158,807979001,822462577,836919350,851417555,866364078
IDA blend,IDB,Rural population,SP.RUR.TOTL,238202925,242233292,246192374,250184863,254222593,258344389,262561946,266877914
Indonesia,IDN,Rural population,SP.RUR.TOTL,122673786,122688936,122659348,122589003,122474421,122327561,122139493,121915144
IDA only,IDX,Rural population,SP.RUR.TOTL,526591050,537006711,547387784,557794138,568239984,578574961,588855609,599486164
Isle of Man,IMN,Rural population,SP.RUR.TOTL,37068,37429,37709,37965,38257,38617,39079,39604
India,IND,Rural population,SP.RUR.TOTL,764252791,774881568,784520681,793938753,803128396,812106163,820863650,829358847
Not classified,INX,Rural population,SP.RUR.TOTL,,,,,,,,
Ireland,IRL,Rural population,SP.RUR.TOTL,1554223,1569733,1586580,1601606,1619883,1644123,1677897,1718227
"Iran, Islamic Rep.",IRN,Rural population,SP.RUR.TOTL,23596861,23417996,23234787,23044631,22844248,22632300,22408896,22211325
Iraq,IRQ,Rural population,SP.RUR.TOTL,7402680,7613472,7827626,8037500,8233074,8408905,8558600,8687932
Iceland,ISL,Rural population,SP.RUR.TOTL,21369,21281,21098,20877,20696,20662,20782,20943
Israel,ISR,Rural population,SP.RUR.TOTL,553243,562318,569619,575782,581761,587811,593922,600185
Italy,ITA,Rural population,SP.RUR.TOTL,18664484,18640786,18611507,18626218,18678509,18702115,18689801,18715453
Jamaica,JAM,Rural population,SP.RUR.TOTL,1279193,1282441,1285806,1288690,1290977,1292979,1294630,1295974
Jordan,JOR,Rural population,SP.RUR.TOTL,1113118,1133047,1154113,1178751,1209740,1182821,1140191,1102745
Japan,JPN,Rural population,SP.RUR.TOTL,27082249,25442515,23389981,21461733,19624090,17916330,16470152,15173239
Kazakhstan,KAZ,Rural population,SP.RUR.TOTL,6534209,6512260,6501681,6512707,6547162,6594562,6653506,6718746
Kenya,KEN,Rural population,SP.RUR.TOTL,25606167,26200347,26801924,27414270,28041392,28686451,29349308,30028064
Kyrgyz Republic,KGZ,Rural population,SP.RUR.TOTL,3169363,3199678,3229232,3263368,3303149,3340718,3376879,3409340
Cambodia,KHM,Rural population,SP.RUR.TOTL,9896068,10085227,10259300,10421598,10576658,10728322,10877451,11024264
Kiribati,KIR,Rural population,SP.RUR.TOTL,48146,48525,49336,50184,51102,52113,52803,53221
St. Kitts and Nevis,KNA,Rural population,SP.RUR.TOTL,29633,30063,30509,30967,31421,31846,32240,32605
"Korea, Rep.",KOR,Rural population,SP.RUR.TOTL,9579783,9502455,9386489,9266208,9134717,8988830,8947521,8942697
Kuwait,KWT,Rural population,SP.RUR.TOTL,20451,1935,0,0,0,0,0,0
Latin America & Caribbean (excluding high income),LAC,Rural population,SP.RUR.TOTL,121145574,121093656,121037638,120916409,120801635,120658975,120477144,120259291
Lao PDR,LAO,Rural population,SP.RUR.TOTL,4153711,4165758,4172451,4175453,4176325,4188025,4223906,4261578
Lebanon,LBN,Rural population,SP.RUR.TOTL,537988,554030,575471,598311,617140,628365,630097,624475
Liberia,LBR,Rural population,SP.RUR.TOTL,1585702,1634320,1663086,1681272,1702472,1736140,1784590,1843745
Libya,LBY,Rural population,SP.RUR.TOTL,1265159,1279055,1292673,1305765,1317963,1329043,1339087,1348091
St. Lucia,LCA,Rural population,SP.RUR.TOTL,113205,114726,117426,120051,122769,125685,128882,132298
Latin America & Caribbean,LCN,Rural population,SP.RUR.TOTL,127727686,127641944,127623154,127567032,127516428,127437141,127316130,127156799
Least developed countries: UN classification,LDC,Rural population,SP.RUR.TOTL,492608714,502506879,512414487,522346629,532276712,542038422,551749143,561757398
Low income,LIC,Rural population,SP.RUR.TOTL,281448501,288581701,295979777,303636344,311454630,319310259,327259645,335710366
Liechtenstein,LIE,Rural population,SP.RUR.TOTL,28163,28524,28834,29097,29348,29601,29839,30065
Sri Lanka,LKA,Rural population,SP.RUR.TOTL,15326282,15438588,15564702,15699501,15835620,15967669,16093977,16216506
Lower middle income,LMC,Rural population,SP.RUR.TOTL,1620967177,1640656794,1658885067,1676615408,1693950752,1710882135,1727536308,1743887284
Low & middle income,LMY,Rural population,SP.RUR.TOTL,3005381329,3021974192,3035039997,3046978342,3057975730,3068102196,3077954849,3087637796
Lesotho,LSO,Rural population,SP.RUR.TOTL,1635432,1627226,1611748,1591735,1570882,1551999,1535830,1523893
Late-demographic dividend,LTE,Rural population,SP.RUR.TOTL,1112475395,1102404694,1090101607,1076997987,1063228249,1049002261,1034751957,1020192607
Lithuania,LTU,Rural population,SP.RUR.TOTL,1155337,1148181,1142134,1136002,1126390,1108561,1088684,1073533
Luxembourg,LUX,Rural population,SP.RUR.TOTL,68866,66922,65592,64389,63322,62340,61400,60436
Latvia,LVA,Rural population,SP.RUR.TOTL,756030,749063,742721,736722,726462,716416,710606,706304
"Macao SAR, China",MAC,Rural population,SP.RUR.TOTL,0,0,0,0,0,0,0,0
St. Martin (French part),MAF,Rural population,SP.RUR.TOTL,,,,,,,,
Morocco,MAR,Rural population,SP.RUR.TOTL,13436567,13496556,13552137,13605715,13659048,13652011,13632307,13613226
Monaco,MCO,Rural population,SP.RUR.TOTL,0,0,0,0,0,0,0,0
Moldova,MDA,Rural population,SP.RUR.TOTL,1620097,1628148,1636023,1643032,1650523,1652722,1649027,1646101
Madagascar,MDG,Rural population,SP.RUR.TOTL,11490691,11806901,12127386,12452039,12780590,13053179,13324747,13595108
Maldives,MDV,Rural population,SP.RUR.TOTL,201987,203683,205806,208087,210135,211738,213542,217191
Middle East & North Africa,MEA,Rural population,SP.RUR.TOTL,130558925,131822744,133095828,134389839,135723409,136992965,138295834,139722091
Mexico,MEX,Rural population,SP.RUR.TOTL,24999903,25029404,25050042,25067242,25086720,25114752,25151867,25196552
Marshall Islands,MHL,Rural population,SP.RUR.TOTL,15947,15885,15910,15970,15996,15948,15818,15622
Middle income,MIC,Rural population,SP.RUR.TOTL,2723932828,2733392491,2739060220,2743341998,2746521100,2748791937,2750695204,2751927430
North Macedonia,MKD,Rural population,SP.RUR.TOTL,839963,847752,845840,852846,859543,865012,869484,873335
Mali,MLI,Rural population,SP.RUR.TOTL,7842473,7994384,8154360,8322339,8497557,8679681,8868445,9062928
Malta,MLT,Rural population,SP.RUR.TOTL,29771,28923,28094,27263,26456,25664,25194,24985
Myanmar,MMR,Rural population,SP.RUR.TOTL,34093700,34376109,34636064,34871846,35082987,35270383,35431678,35569172
Middle East & North Africa (excluding high income),MNA,Rural population,SP.RUR.TOTL,124427922,125610893,126773271,127935079,129118314,130216968,131320176,132524036
Montenegro,MNE,Rural population,SP.RUR.TOTL,250788,245634,240467,235306,232295,230563,228771,227018
Mongolia,MNG,Rural population,SP.RUR.TOTL,1027701,1010858,994309,978174,962535,947562,933086,919146
Northern Mariana Islands,MNP,Rural population,SP.RUR.TOTL,5658,5695,5657,5565,5450,5339,5232,5126
Mozambique,MOZ,Rural population,SP.RUR.TOTL,12558109,12887063,13236792,13601940,13973621,14345954,14717710,15092432
Mauritania,MRT,Rural population,SP.RUR.TOTL,1628341,1658844,1681304,1704261,1727424,1750678,1773850,1796929
Mauritius,MUS,Rural population,SP.RUR.TOTL,680434,687159,693296,699690,705459,711012,715718,720361
Malawi,MWI,Rural population,SP.RUR.TOTL,9519918,9751725,9981681,10215156,10460990,10725239,11008957,11309184
Malaysia,MYS,Rural population,SP.RUR.TOTL,8819150,8790866,8749881,8698925,8641903,8582207,8520089,8454324
North America,NAC,Rural population,SP.RUR.TOTL,65390600,65439773,65532042,65570585,65646334,65725505,65825444,65883493
Namibia,NAM,Rural population,SP.RUR.TOTL,1213623,1223717,1226335,1226892,1227324,1228272,1229905,1232041
New Caledonia,NCL,Rural population,SP.RUR.TOTL,81200,81983,82766,83389,83857,83691,83366,83005
Niger,NER,Rural population,SP.RUR.TOTL,9497435,9840592,10208505,10592559,10993347,11411587,11847271,12301376
Nigeria,NGA,Rural population,SP.RUR.TOTL,79680159,80667244,81648222,82627833,83611781,84604898,85604230,86605458
Nicaragua,NIC,Rural population,SP.RUR.TOTL,2271811,2298178,2323434,2347953,2372265,2396560,2418775,2441294
Netherlands,NLD,Rural population,SP.RUR.TOTL,3695515,3557438,3373027,3189732,3009850,2834761,2674876,2532774
Norway,NOR,Rural population,SP.RUR.TOTL,1076934,1066238,1055893,1046082,1037818,1032150,1027679,1024994
Nepal,NPL,Rural population,SP.RUR.TOTL,20733710,20951421,21204696,21434622,21646853,21844466,22036256,22219150
Nauru,NRU,Rural population,SP.RUR.TOTL,0,0,0,0,0,0,0,0
New Zealand,NZL,Rural population,SP.RUR.TOTL,539268,539389,546433,554908,560764,564649,569106,576971
OECD members,OED,Rural population,SP.RUR.TOTL,292884725,290844175,288116476,285537838,283079418,280714043,278694511,276875520
Oman,OMN,Rural population,SP.RUR.TOTL,644807,652939,664758,679842,688977,693106,697655,703430
Other small states,OSS,Rural population,SP.RUR.TOTL,10495989,10560891,10619406,10672668,10729542,10791192,10860577,10917046
Pakistan,PAK,Rural population,SP.RUR.TOTL,95395822,97542772,99630007,101684617,103741796,105829499,107953132,110103933
Panama,PAN,Rural population,SP.RUR.TOTL,1145526,1158708,1171689,1184430,1197009,1209470,1221816,1234066
Peru,PER,Rural population,SP.RUR.TOTL,7133072,7115747,7086902,7048620,7004399,6957061,6907204,6855748
Philippines,PHL,Rural population,SP.RUR.TOTL,42010260,42983513,43965718,44947726,45917350,46866522,47789467,48690225
Palau,PLW,Rural population,SP.RUR.TOTL,5667,5799,5923,6023,5882,5707,5490,5239
Papua New Guinea,PNG,Rural population,SP.RUR.TOTL,5075474,5187052,5295799,5405253,5520125,5643485,5776746,5918427
Poland,POL,Rural population,SP.RUR.TOTL,14646934,14625682,14608969,14641519,14675719,14712016,14745032,14779722
Pre-demographic dividend,PRE,Rural population,SP.RUR.TOTL,374068563,382230124,390733556,399393989,408159416,416895255,425706585,434966801
Puerto Rico,PRI,Rural population,SP.RUR.TOTL,213889,216410,218792,220995,223184,225002,226182,227018
"Korea, Dem. People's Rep.",PRK,Rural population,SP.RUR.TOTL,9306454,9370940,9436141,9499843,9557886,9608280,9649850,9684524
Portugal,PRT,Rural population,SP.RUR.TOTL,4692296,4658665,4619439,4571864,4517810,4461605,4404945,4349078
Paraguay,PRY,Rural population,SP.RUR.TOTL,2377821,2390360,2400870,2423478,2446661,2467494,2485914,2502185
West Bank and Gaza,PSE,Rural population,SP.RUR.TOTL,819109,833714,848526,863610,878906,894481,910309,926356
Pacific island small states,PSS,Rural population,SP.RUR.TOTL,1284543,1294739,1305544,1316533,1327634,1339289,1351230,1363382
Post-demographic dividend,PST,Rural population,SP.RUR.TOTL,240132155,237734847,234740318,231886018,229178979,226567016,224324542,222299917
French Polynesia,PYF,Rural population,SP.RUR.TOTL,105787,107850,109828,110580,110510,110196,109618,108804
Qatar,QAT,Rural population,SP.RUR.TOTL,21856,21489,21200,21354,21922,22535,23819,25380
Romania,ROU,Rural population,SP.RUR.TOTL,10547299,10434781,10261140,10158919,10073097,9983156,9896426,9723952
Russian Federation,RUS,Rural population,SP.RUR.TOTL,39068066,38908572,38737259,38515588,38295974,38085588,37896710,37767668
Rwanda,RWA,Rural population,SP.RUR.TOTL,6749506,6928241,7013253,7110658,7212814,7345162,7513480,7704546
South Asia,SAS,Rural population,SP.RUR.TOTL,1010086912,1025021302,1038823499,1052316234,1065387997,1077998855,1090131402,1101778785
Saudi Arabia,SAU,Rural population,SP.RUR.TOTL,4164177,4224203,4294776,4372309,4452117,4530075,4604703,4677534
Sudan,SDN,Rural population,SP.RUR.TOTL,18412002,18867051,19346739,19840480,20332034,20810453,21272630,21724978
Senegal,SEN,Rural population,SP.RUR.TOTL,5847286,5975094,6107794,6230220,6344872,6463989,6587604,6715979
Singapore,SGP,Rural population,SP.RUR.TOTL,0,0,0,0,0,0,0,0
Solomon Islands,SLB,Rural population,SP.RUR.TOTL,347410,355265,363165,371019,378702,386122,393245,400134
Sierra Leone,SLE,Rural population,SP.RUR.TOTL,2951271,3048927,3172680,3310380,3445370,3561319,3654759,3732205
El Salvador,SLV,Rural population,SP.RUR.TOTL,2419233,2402569,2384021,2364003,2342837,2321111,2298802,2272949
San Marino,SMR,Rural population,SP.RUR.TOTL,1801,1739,1712,1721,1692,1627,1563,1501
Somalia,SOM,Rural population,SP.RUR.TOTL,5922493,6098420,6271831,6403967,6530872,6653498,6770496,7268117
Serbia,SRB,Rural population,SP.RUR.TOTL,3550045,3527214,3507248,3483188,3458352,3431459,3401540,3371315
Sub-Saharan Africa (excluding high income),SSA,Rural population,SP.RUR.TOTL,456682898,465870289,475139010,484579485,494223773,504043366,514166407,524890108
South Sudan,SSD,Rural population,SP.RUR.TOTL,5176248,5375394,5567212,5764162,5985425,6243217,6540454,6866646
Sub-Saharan Africa,SSF,Rural population,SP.RUR.TOTL,456723112,465910365,475180138,484619946,494263866,504083411,514207041,524930681
Small states,SST,Rural population,SP.RUR.TOTL,15021121,15113794,15203425,15289172,15378778,15474207,15577598,15668259
Sao Tome and Principe,STP,Rural population,SP.RUR.TOTL,66261,66044,65534,65026,64612,64304,64108,63991
Suriname,SUR,Rural population,SP.RUR.TOTL,158030,159571,161108,162659,164213,166410,168692,171005
Slovak Republic,SVK,Rural population,SP.RUR.TOTL,2358481,2357934,2365142,2371646,2379222,2387514,2395737,2404552
Slovenia,SVN,Rural population,SP.RUR.TOTL,979466,980492,980172,976273,972385,969570,968153,969042
Sweden,SWE,Rural population,SP.RUR.TOTL,1417231,1417037,1416123,1415759,1415762,1415927,1413835,1409904
Eswatini,SWZ,Rural population,SP.RUR.TOTL,777340,784989,790531,794753,798800,803457,809087,815051
Sint Maarten (Dutch part),SXM,Rural population,SP.RUR.TOTL,0,0,0,0,0,0,0,0
Seychelles,SYC,Rural population,SP.RUR.TOTL,40214,40076,41128,40461,40093,40045,40634,40573
Syrian Arab Republic,SYR,Rural population,SP.RUR.TOTL,7885904,7995299,8084104,8176617,8304737,8486169,8739432,9042420
Turks and Caicos Islands,TCA,Rural population,SP.RUR.TOTL,3116,3159,3251,3349,3422,3454,3445,3404
Chad,TCD,Rural population,SP.RUR.TOTL,6547741,6797516,7061874,7336493,7615698,7895464,8173914,8452344
East Asia & Pacific (IDA & IBRD countries),TEA,Rural population,SP.RUR.TOTL,1142977409,1134811278,1124327121,1112860612,1100606175,1087887138,1075073514,1061903318
Europe & Central Asia (IDA & IBRD countries),TEC,Rural population,SP.RUR.TOTL,157481140,156813811,156098527,155491726,154928295,154368340,153842095,153330273
Togo,TGO,Rural population,SP.RUR.TOTL,3303932,3373900,3439973,3504089,3569142,3637186,3708472,3782163
Thailand,THA,Rural population,SP.RUR.TOTL,43194324,42858454,42456025,41995498,41487152,40943339,40360856,39742329
Tajikistan,TJK,Rural population,SP.RUR.TOTL,4568940,4643915,4723421,4807581,4896324,4989470,5087273,5190071
Turkmenistan,TKM,Rural population,SP.RUR.TOTL,2442638,2458354,2472721,2486777,2501642,2517493,2534545,2552880
Latin America & the Caribbean (IDA & IBRD countries),TLA,Rural population,SP.RUR.TOTL,124451043,124376761,124369173,124317930,124266716,124189492,124074038,123923098
Timor-Leste,TLS,Rural population,SP.RUR.TOTL,669792,679344,692218,707084,722016,735988,748362,759579
Middle East & North Africa (IDA & IBRD countries),TMN,Rural population,SP.RUR.TOTL,123608813,124777179,125924745,127071469,128239408,129322487,130409867,131597680
Tonga,TON,Rural population,SP.RUR.TOTL,75419,75791,76179,76587,77038,77543,78133,78751
South Asia (IDA & IBRD),TSA,Rural population,SP.RUR.TOTL,1010086912,1025021302,1038823499,1052316234,1065387997,1077998855,1090131402,1101778785
Sub-Saharan Africa (IDA & IBRD countries),TSS,Rural population,SP.RUR.TOTL,456723112,465910365,475180138,484619946,494263866,504083411,514207041,524930681
